Point106: deltaX:[ 0 , 0.181818 ] cosTheta:[0] ui:[ 0 , 0.181818 ] sigma:[0.592308]
Point107: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point108: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point109: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point110: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point111: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point112: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point113: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point114: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point115: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point116: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point117: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point118: deltaX:[ 0.550092 , -0.550092 ] cosTheta:[1.42736e-16] ui:[ 0.55 , -0.55 ] sigma:[0.693196]
Point119: deltaX:[ 1.62393 , -1.62393 ] cosTheta:[0] ui:[ 0.8125 , -0.8125 ] sigma:[0.773626]
Point120: deltaX:[ 0 , 2.04331 ] cosTheta:[0] ui:[ 0 , 1.05882 ] sigma:[0.762617]
Point121: deltaX:[ 0 , 0.181818 ] cosTheta:[0] ui:[ 0 , 0.181818 ] sigma:[0.592308]
Point122: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point123: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point124: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point125: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point126: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point127: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point128: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point129: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point130: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point131: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point132: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point133: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point134: deltaX:[ 0.550092 , -0.550092 ] cosTheta:[1.42736e-16] ui:[ 0.55 , -0.55 ] sigma:[0.693196]
Point135: deltaX:[ 1.62393 , -1.62393 ] cosTheta:[0] ui:[ 0.8125 , -0.8125 ] sigma:[0.773626]
Point136: deltaX:[ 0 , 2.04331 ] cosTheta:[0] ui:[ 0 , 1.05882 ] sigma:[0.762617]
Point137: deltaX:[ 0 , 0.181818 ] cosTheta:[0] ui:[ 0 , 0.181818 ] sigma:[0.592308]
Point138: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point139: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point140: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point141: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point142: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point143: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point144: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point145: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point146: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point147: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point148: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point149: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point150: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
