Point109: deltaX:[ 0.882231 , -0.330836 ] cosTheta:[0.0141155] ui:[ 0.888889 , -0.333333 ] sigma:[0.705442]
Point110: deltaX:[ 1.8429 , -0.75884 ] cosTheta:[0.000441879] ui:[ 1.0625 , -0.4375 ] sigma:[0.753256]
Point111: deltaX:[ 2.25983 , -1.09938 ] cosTheta:[0.000792034] ui:[ 1.6087 , -0.782609 ] sigma:[0.802536]
Point112: deltaX:[ 1.82323 , 1.02557 ] cosTheta:[0.00994392] ui:[ 1 , 0.5625 ] sigma:[0.757274]
Point113: deltaX:[ 0.818867 , 0.436729 ] cosTheta:[0.0187314] ui:[ 0.833333 , 0.444444 ] sigma:[0.686444]
Point114: deltaX:[ 0.570962 , 0.333061 ] cosTheta:[0.00404052] ui:[ 0.571429 , 0.333333 ] sigma:[0.641074]
Point115: deltaX:[ 0.375 , 0.125 ] cosTheta:[7.02167e-17] ui:[ 0.375 , 0.125 ] sigma:[0.611765]
Point116: deltaX:[ 0.278394 , 0.119312 ] cosTheta:[0.0107262] ui:[ 0.28 , 0.12 ] sigma:[0.586363]
Point117: deltaX:[ 0.189944 , 0.0759775 ] cosTheta:[0.0157279] ui:[ 0.192308 , 0.0769231 ] sigma:[0.555802]
Point118: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point119: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point120: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point121: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point122: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point123: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point124: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point125: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point126: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point127: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point128: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point129: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point130: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point131: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point132: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point133: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
