Point81: deltaX:[ 1.04482 , 1.04482 ] cosTheta:[1.37383e-16] ui:[ 0.571429 , 0.571429 ] sigma:[0.7875]
Point82: deltaX:[ 0.0763446 , 0.229034 ] cosTheta:[0.0734729] ui:[ 0.1 , 0.3 ] sigma:[0.629975]
Point83: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point84: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point85: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point86: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point87: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point88: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point89: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point90: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point91: deltaX:[ 1.08678 , 1.73885 ] cosTheta:[8.23784e-17] ui:[ 0.714286 , 1.14286 ] sigma:[0.798658]
Point92: deltaX:[ 0.333333 , 0.333333 ] cosTheta:[0] ui:[ 0.333333 , 0.333333 ] sigma:[0.625]
Point93: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point94: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point95: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point96: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point97: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point98: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point99: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point100: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point101: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point102: deltaX:[ 0.349614 , 0.466152 ] cosTheta:[0.0374795] ui:[ 0.375 , 0.5 ] sigma:[0.692433]
Point103: deltaX:[ 0 , 0.181818 ] cosTheta:[0] ui:[ 0 , 0.181818 ] sigma:[0.592308]
Point104: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point105: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point106: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point107: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point108: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point109: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point110: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point111: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point112: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point113: deltaX:[ 0.963896 , 2.04828 ] cosTheta:[0.00417059] ui:[ 0.533333 , 1.13333 ] sigma:[0.788362]
Point114: deltaX:[ 0.0763446 , 0.229034 ] cosTheta:[0.0734729] ui:[ 0.1 , 0.3 ] sigma:[0.629975]
Point115: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point116: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point117: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point118: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point119: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point120: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point121: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point122: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point123: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point124: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point125: deltaX:[ 0.349614 , 0.466152 ] cosTheta:[0.0374795] ui:[ 0.375 , 0.5 ] sigma:[0.692433]
Point126: deltaX:[ 0 , 0.181818 ] cosTheta:[0] ui:[ 0 , 0.181818 ] sigma:[0.592308]
Point127: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point128: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point129: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point130: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point131: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point132: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point133: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point134: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point135: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point136: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point137: deltaX:[ 1.04482 , 1.04482 ] cosTheta:[1.37383e-16] ui:[ 0.571429 , 0.571429 ] sigma:[0.7875]
Point138: deltaX:[ 0.0763446 , 0.229034 ] cosTheta:[0.0734729] ui:[ 0.1 , 0.3 ] sigma:[0.629975]
Point139: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point140: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point141: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point142: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point143: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point144: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point145: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point146: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point147: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point148: deltaX:[ 0 , -0.181818 ] cosTheta:[0] ui:[ 0 , -0.181818 ] sigma:[0.592308]
Point149: deltaX:[ 0 , -1.12569 ] cosTheta:[0] ui:[ 0 , -0.625 ] sigma:[0.755906]
Point150: deltaX:[ 1.08678 , 1.73885 ] cosTheta:[0] ui:[ 0.714286 , 1.14286 ] sigma:[0.798658]
Point151: deltaX:[ 0.333333 , 0.333333 ] cosTheta:[4.12149e-16] ui:[ 0.333333 , 0.333333 ] sigma:[0.625]
Point152: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point153: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point154: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point155: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point156: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point157: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point158: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
